date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:00:18	66097/66097	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202024%2014:00:16%20GMT	https://digital-marketing-template.brickstemplates.io/	C:/My%20Web%20Sites/DigiQuill/digital-marketing-template.brickstemplates.io/index.html	(from )
08:00:18	170/170	---M-Z	200	added ('OK')	text/plain	date:Sat,%2014%20Dec%202024%2014:00:16%20GMT	https://digital-marketing-template.brickstemplates.io/robots.txt		(from )
08:00:18	124058/124058	---M-Z	200	added ('OK')	text/css	etag:%221e49a-67388686-7082a7;gz%22	https://digital-marketing-template.brickstemplates.io/wp-content/themes/bricks/assets/css/frontend.min.css?ver=1731757702	C:/My%20Web%20Sites/DigiQuill/digital-marketing-template.brickstemplates.io/wp-content/themes/bricks/assets/css/frontend.min904c.css	(from https://digital-marketing-template.brickstemplates.io/)
08:00:19	65184/65184	---M-Z	200	added ('OK')	text/css	etag:%22fea0-67388686-7082b8;gz%22	https://digital-marketing-template.brickstemplates.io/wp-content/themes/bricks/assets/css/integrations/woocommerce.min.css?ver=1731757702	C:/My%20Web%20Sites/DigiQuill/digital-marketing-template.brickstemplates.io/wp-content/themes/bricks/assets/css/integrations/woocommerce.min904c.css	(from https://digital-marketing-template.brickstemplates.io/)
08:00:19	1925/1925	---M-Z	200	added ('OK')	application/rss+xml	etag:%22cf4fe9a69a78dccb1ad637680b50a6ca%22	https://digital-marketing-template.brickstemplates.io/feed/	C:/My%20Web%20Sites/DigiQuill/digital-marketing-template.brickstemplates.io/feed/index.html	(from https://digital-marketing-template.brickstemplates.io/)
08:00:19	1838/1838	---M-Z	200	added ('OK')	application/rss+xml	etag:%22cf4fe9a69a78dccb1ad637680b50a6ca%22	https://digital-marketing-template.brickstemplates.io/comments/feed/	C:/My%20Web%20Sites/DigiQuill/digital-marketing-template.brickstemplates.io/comments/feed/index.html	(from https://digital-marketing-template.brickstemplates.io/)
08:00:19	18756/18756	---M-Z	200	added ('OK')	text/css	etag:%224944-67388686-7082af;gz%22	https://digital-marketing-template.brickstemplates.io/wp-content/themes/bricks/assets/css/libs/font-awesome-6-brands.min.css?ver=1731757702	C:/My%20Web%20Sites/DigiQuill/digital-marketing-template.brickstemplates.io/wp-content/themes/bricks/assets/css/libs/font-awesome-6-brands.min904c.css	(from https://digital-marketing-template.brickstemplates.io/)
08:00:19	80965/80965	---M-Z	200	added ('OK')	text/css	etag:%2213c45-67388686-7082b5;gz%22	https://digital-marketing-template.brickstemplates.io/wp-content/themes/bricks/assets/css/libs/font-awesome-6.min.css?ver=1731757702	C:/My%20Web%20Sites/DigiQuill/digital-marketing-template.brickstemplates.io/wp-content/themes/bricks/assets/css/libs/font-awesome-6.min904c.css	(from https://digital-marketing-template.brickstemplates.io/)
08:00:20	29261/29261	---M-Z	200	added ('OK')	text/css	etag:%22724d-67388686-7082b4;gz%22	https://digital-marketing-template.brickstemplates.io/wp-content/themes/bricks/assets/css/libs/ionicons.min.css?ver=1731757702	C:/My%20Web%20Sites/DigiQuill/digital-marketing-template.brickstemplates.io/wp-content/themes/bricks/assets/css/libs/ionicons.min904c.css	(from https://digital-marketing-template.brickstemplates.io/)
08:00:20	13845/13845	---M-Z	200	added ('OK')	text/css	etag:%223615-67388686-7082aa;gz%22	https://digital-marketing-template.brickstemplates.io/wp-content/themes/bricks/assets/css/libs/themify-icons.min.css?ver=1731757702	C:/My%20Web%20Sites/DigiQuill/digital-marketing-template.brickstemplates.io/wp-content/themes/bricks/assets/css/libs/themify-icons.min904c.css	(from https://digital-marketing-template.brickstemplates.io/)
08:00:21	9636/9636	---M-Z	200	added ('OK')	text/javascript	etag:%2225a4-6755a963-a7ddc1;gz%22	https://digital-marketing-template.brickstemplates.io/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.7.0-wc.9.4.3	C:/My%20Web%20Sites/DigiQuill/digital-marketing-template.brickstemplates.io/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min6fb9.js	(from https://digital-marketing-template.brickstemplates.io/)
08:00:21	4035/4035	---M-Z	200	added ('OK')	text/javascript	etag:%22fc3-6755a963-a7dda0;gz%22	https://digital-marketing-template.brickstemplates.io/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=9.4.3	C:/My%20Web%20Sites/DigiQuill/digital-marketing-template.brickstemplates.io/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.minceb1.js	(from https://digital-marketing-template.brickstemplates.io/)
08:00:23	87553/87553	---M-Z	200	added ('OK')	text/javascript	etag:%2215601-660023d9-67f969;gz%22	https://digital-marketing-template.brickstemplates.io/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/DigiQuill/digital-marketing-template.brickstemplates.io/wp-includes/js/jquery/jquery.minf43b.js	(from https://digital-marketing-template.brickstemplates.io/)
08:00:23	46873/46873	---M--	200	added ('OK')	image/jpeg	etag:%22b719-66262aa4-69798e;;;%22	http://digital-marketing-template.brickstemplates.io/wp-content/uploads/2024/04/marketing1.jpg	C:/My%20Web%20Sites/DigiQuill/digital-marketing-template.brickstemplates.io/wp-content/uploads/2024/04/marketing1.jpg	(from https://digital-marketing-template.brickstemplates.io/)
08:00:23	1720/1720	---M-Z	200	added ('OK')	text/javascript	etag:%226b8-6755a963-a7ddd9;gz%22	https://digital-marketing-template.brickstemplates.io/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4-wc.9.4.3	C:/My%20Web%20Sites/DigiQuill/digital-marketing-template.brickstemplates.io/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.mine74b.js	(from https://digital-marketing-template.brickstemplates.io/)
